"Key","LON","LAT","Customer","CustomerWeight","Dollars","Count","Member Type","TypeSingleValue","SomeText","Flag","AreaId","DA_ECYPFA1519","DA_ECYPFA2024","DA_ECYPFA2529","DA_ECYPFA3034","DA_ECYPFA3539","DA_ECYPFA4044","DA_ECYPFA4549","DA_ECYPFA5054","DA_ECYPFA5559","DA_ECYPFA6064","DA_ECYPFA6569","DA_ECYPFA7074","AreaId2","DA_NVR_TOT","AreaId3","DA_NVRLTRK_I","AreaId4","DA_NVRLTRK_I_2","AreaId5","DA_NVRLTRK_I_2_2","AreaId6","DA_NVRLTRK_I_2_2_2","AreaId7","DA_NVRLTRK_I_2_2_2_2","__FSALDU","__LATITUDE","__LONGITUDE","__GeoLevel","__InSegmentation","__InDemographic","__PRCDDA","__Count","__PRIZM","__FSAQ422","__PRCDADA","__PRCDCSD","__PRCD","__CMACT","__CMACA","__PRFED13","__PR","__REG","__Distance"
"24920098","-72.0578364431657","50.8562086044719","1","1","35.49","1",,"monthly",,"False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.873260825752","51.3362242912596","6","1","412.28","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.5696228937831","51.1261546510175","11","1","545.23","1",,"monthly",,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.8860326428303","50.9731852246417","7","2","468.85","1",,"monthly",,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.6529262862759","49.7641802092726","9","2","592.75","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.2204994686753","50.0686629206265","8","1","449.98","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.9455052963601","49.7326865038423","2","1","115.5","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4035907596205","49.9203956431138","6","1","286.71","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.8663494689252","50.7212355811991","2","1","54.93","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.9738938137659","50.5142769455141","9","1","248.08","1",,"monthly",,"False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.9300807908851","50.7617274881809","4","1","343.49","1",,"monthly",,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.9873561835437","49.6202089844483","7","1","108.25","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.4639065154051","49.8763067721105","8","1","578.33","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4151782182694","50.0688659687139","4","1","173.41","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.8276731226415","49.6112107828967","5","1","290.67","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.571607410929","50.9776843254174","2","2","32.97","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4053699778009","50.2398317981928","3","1","194.9","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4537532192255","51.6480503410057","1","2","91.6","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.3666227555138","50.8517095036961","6","1","138.13","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-72.1006483615225","50.8292139998173","9","1","613.44","1",,"monthly",,"False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.9369013828347","50.8157166974901","9","1","195.6","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.44987422541","49.8541622247878","1","1","6.08","1","weekly","monthly","this is weekly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.9871858986533","49.8361658216847","4","1","111.91","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.8477627617362","49.8136703178059","1","3","67.27","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.6504153232551","50.9596879223144","3","2","49.48","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.5389497674427","51.774025162727","7","1","474.97","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.445616316192","51.7020395503148","4","1","174.46","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.5200729456287","50.5862625579263","11","1","437.44","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.3571790934527","50.5817634571505","10","1","653.46","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.7187002890936","50.5637670540475","3","1","252.49","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.5348411646423","49.7326865038423","9","1","516.66","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.9108308033056","49.6786972945331","8","1","526.28","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.7372538129928","49.6382053875513","5","1","291.63","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.7426557371365","49.9036523333212","6","1","372.51","1",,"monthly",,"False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4737821257549","51.2971204804964","4","1","37.25","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.4955030613999","51.2881222789449","3","1","51.82","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.872081609699","50.9236951161083","3","2","219.92","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.5084206267282","50.9011996122295","11","1","8.38","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-72.0434701143559","50.892201410678","1","1","90.3","1",,"monthly",,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.3590159122581","50.8787041083507","1","1","83.01","1",,"monthly",,"False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.9339217300216","50.0553686663866","9","1","722.95","1","annual","monthly","this is annual","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.5628390640745","50.0328731625078","5","1","231.38","1","weekly","monthly","this is weekly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.2063402857916","50.0193863283574","9","1","818.05","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.702190610281","49.6876954960847","9","1","344.3","1","weekly","monthly","this is weekly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.6605343741542","49.6786972945331","4","1","288.56","1","weekly","monthly","this is weekly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.6396763383916","49.6786972945331","9","1","109.79","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.5342488913419","49.7911748139272","9","2","377.28","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.9592044597807","49.8946541317696","6","1","37.2","1","weekly","monthly","this is weekly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.8890869657538","49.9936343488364","9","2","61.82","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.6582869390633","49.9756379457333","4","1","249.59","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24950049","-69.8333178521609","49.9396451395272","6","1","565.32","1","monthly","monthly","this is monthly","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-72.1222757029185","50.6492499687869","9","1","374.89","1","annual","monthly","this is annual","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-72.0158962049175","50.6357526664596","10","1","582.16","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-71.9947283669787","50.6087580618051","7","1","599.28","1","weekly","monthly","this is weekly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
"24920098","-72.0796934039331","50.6537490695627","10","1","608.67","1","monthly","monthly","this is monthly","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not Coded","False","False",,"1","UN",,,,,,,,,,
