"UniqueID","Postal Code","City","StoreCode","CustomerWeight","Dollars","Member Type","Some Text","Flag","AreaId","DA_ACYBASHHD","AreaId2","DA_ACYBASHHD_2","__FSALDU","__LATITUDE","__LONGITUDE","__GeoLevel","__InSegmentation","__InDemographic","__PRCDDA","__Count","__PostalMatched","__ConsideredRural","__RETIRED","__BUSINESS","__APARTMENT","__PRIZM","__FSAQ422","__PRCDADA","__PRCDCSD","__PRCD","__CMACT","__CMACA","__PRFED13","__PR","__REG"
"4245","A1A2M1","ST. JOHN'S","A1B-1","1","655.29","yearly","this is annual","True",,"1",,"1","A1A2M1","47.598530","-52.703560","Unique ePCCF","True","True","10010265","1","True","False","","","","09","A1A","10010006","1001519","1001","0010015.02","001","10006","10","1"
"4249","A1A2R2","CUCHOLDS COVE","A1B-1","1","879.6","yearly","this is annual","False",,"1",,"1","A1A2R2","47.597280","-52.713810","Unique ePCCF","True","True","10010341","1","True","False","","","","45","A1A","10010004","1001519","1001","0010015.03","001","10006","10","1"
"4246","A1A2S5","CUCHOLDS COVE","A1B-1","1","323.15","yearly","this is annual","True",,"1",,"1","A1A2S5","47.595630","-52.716920","Unique ePCCF","True","True","10010341","1","True","False","","","","45","A1A","10010004","1001519","1001","0010015.03","001","10006","10","1"
"4250","A1A2W7","ST. JOHN'S","A1B-1","1","16.66","yearly","this is annual","False",,"1",,"1","A1A2W7","47.598600","-52.705660","Unique ePCCF","True","True","10010265","1","True","False","","","","09","A1A","10010006","1001519","1001","0010015.02","001","10006","10","1"
"1407","A1A3C6","CUCHOLDS COVE","A1B-1","2","199.56","monthly","this is monthly","True",,"1",,"1","A1A3C6","47.609480","-52.709410","Unique ePCCF","True","True","10010269","1","True","False","","","","09","A1A","10010008","1001519","1001","0010015.04","001","10006","10","1"
"4237","A1A3C8","CUCHOLDS COVE","A1B-1","2","625.38","yearly","this is annual","True",,"1",,"1","A1A3C8","47.606700","-52.709380","Unique ePCCF","True","True","10010267","1","True","False","","","","09","A1A","10010008","1001519","1001","0010015.04","001","10006","10","1"
"4251","A1A3G7","ST. JOHN'S","A1B-1","1","625.02","yearly","this is annual","False",,"1",,"1","A1A3G7","47.596170","-52.694480","Unique ePCCF","True","True","10010278","1","True","False","","","","57","A1A","10010006","1001519","1001","0010015.01","001","10006","10","1"
"4252","A1A3W2","ST. JOHN'S","A1B-1","1","375.87","yearly","this is annual","False",,"1",,"1","A1A3W2","47.596490","-52.722430","Unique ePCCF","True","True","10010340","1","True","False","","","","07","A1A","10010004","1001519","1001","0010015.03","001","10006","10","1"
"4238","A1A3W9","CUCHOLDS COVE","A1B-1","2","536.5","yearly","this is annual","True",,"1",,"1","A1A3W9","47.599810","-52.701730","Unique ePCCF","True","True","10010266","1","True","False","","","","45","A1A","10010006","1001519","1001","0010015.02","001","10006","10","1"
"4253","A1A4A7","ST. JOHN'S","A1B-1","1","954.31","yearly","this is annual","False",,"1",,"1","A1A4A7","47.601710","-52.709560","Unique ePCCF","True","True","10010267","1","True","False","","","","09","A1A","10010008","1001519","1001","0010015.04","001","10006","10","1"
